Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment	Unmapped	Uniquely_mapped	Multimapped	Unpaired_total	Mapping_rate	Total_reads	Uniquely_mapped_rate	Assigned	Assigned_rate_total	Assigned_rate_uniqmap	perc_protein_coding	nr_protein_coding	perc_lncRNA	nr_lncRNA	perc_rRNA	nr_rRNA	perc_mitochondrial	nr_mitochondrial	assigned_reads	ngenes	coverage_ngenes_th
C142_G1_Martello_Polo_Day0_H9_E8_73	C142	G1	experiment_2	DAY0	E8	H9	73	SC	Day0_E8	7194	6157	3217	16568	56.58	16568	37.16	2728	16.47	44.31	78.19	2133	2.35	64	15.95	435	18.44	503	2728	1315	1
C142_G10_Martello_Polo_Day0_H9_E8_82	C142	G10	experiment_2	DAY0	E8	H9	82	SC	Day0_E8	4592	119635	40720	164947	97.22	164947	72.53	60311	36.56	50.41	64.03	38616	2.42	1460	30.7	18518	32.22	19433	60311	6911	1
C142_G11_Martello_Polo_Day0_H9_E8_83	C142	G11	experiment_2	DAY0	E8	H9	83	SC	Day0_E8	6908	250425	87985	345318	98	345318	72.52	117161	33.93	46.78	56.42	66107	2.53	2960	38.66	45296	40.78	47784	117161	8588	1
C142_G12_Martello_Polo_Day0_H9_E8_84	C142	G12	experiment_2	DAY0	E8	H9	84	SC	Day0_E8	24562	625463	204547	854572	97.13	854572	73.19	404920	47.38	64.74	55.45	224516	1.57	6354	40.29	163158	42.39	171648	404920	9604	1
C142_G2_Martello_Polo_Day0_H9_E8_74	C142	G2	experiment_2	DAY0	E8	H9	74	SC	Day0_E8	6558	177534	52136	236228	97.22	236228	75.15	95678	40.5	53.89	58.67	56131	2.02	1936	37.37	35756	38.69	37022	95678	6889	1
C142_G3_Martello_Polo_Day0_H9_E8_75	C142	G3	experiment_2	DAY0	E8	H9	75	SC	Day0_E8	4356	113282	48020	165658	97.37	165658	68.38	62500	37.73	55.17	65.04	40651	2.54	1588	29.63	18521	31.74	19837	62500	7348	1
C142_G4_Martello_Polo_Day0_H9_E8_76	C142	G4	experiment_2	DAY0	E8	H9	76	SC	Day0_E8	3367	141880	53152	198399	98.3	198399	71.51	80103	40.37	56.46	63.01	50471	2.3	1843	32.29	25864	33.93	27177	80103	7606	1
C142_G5_Martello_Polo_Day0_H9_E8_77	C142	G5	experiment_2	DAY0	E8	H9	77	SC	Day0_E8	5109	131183	46127	182419	97.2	182419	71.91	68205	37.39	51.99	64.46	43966	2.33	1589	30.99	21136	32.52	22180	68205	6497	1
C142_G6_Martello_Polo_Day0_H9_E8_78	C142	G6	experiment_2	DAY0	E8	H9	78	SC	Day0_E8	2870	95291	32780	130941	97.81	130941	72.77	53700	41.01	56.35	49.48	26569	2.23	1198	46.63	25038	50.91	27340	53700	5894	1
C142_G7_Martello_Polo_Day0_H9_E8_79	C142	G7	experiment_2	DAY0	E8	H9	79	SC	Day0_E8	2492	5262	724	8478	70.61	8478	62.07	254	3	4.83	68.9	175	15.35	39	2.76	7	2.76	7	254	221	1
C142_G8_Martello_Polo_Day0_H9_E8_80	C142	G8	experiment_2	DAY0	E8	H9	80	SC	Day0_E8	10645	398741	171923	581309	98.17	581309	68.59	248026	42.67	62.2	44.67	110803	1.77	4393	51.87	128661	53.28	132157	248026	9127	1
C142_G9_Martello_Polo_Day0_H9_E8_81	C142	G9	experiment_2	DAY0	E8	H9	81	SC	Day0_E8	3821	73863	33904	111588	96.58	111588	66.19	33913	30.39	45.91	63.93	21681	2.82	958	29.79	10104	31.55	10699	33913	5720	1
C142_H1_Martello_Polo_Day0_H9_E8_85	C142	H1	experiment_2	DAY0	E8	H9	85	SC	Day0_E8	2	5	1	8	75	8	62.5	1	12.5	20	100	1	0	0	0	0	0	0	1	1	1
C142_H10_Martello_Polo_Day0_H9_E8_94	C142	H10	experiment_2	DAY0	E8	H9	94	SC	Day0_E8	13121	204487	89667	307275	95.73	307275	66.55	122002	39.7	59.66	46.97	57300	1.79	2183	49.09	59896	50.89	62082	122002	7514	1
C142_H11_Martello_Polo_Day0_H9_E8_95	C142	H11	experiment_2	DAY0	E8	H9	95	SC	Day0_E8	26929	294923	88147	409999	93.43	409999	71.93	192712	47	65.34	53.46	103015	1.36	2613	42.65	82193	45.76	88179	192712	6611	1
C142_H12_Martello_Polo_Day0_H9_E8_96_MINIBULK	C142	H12	experiment_2	DAY0	E8	H9	96	MINIBULK	Day0_E8	3	17	7	27	88.89	27	62.96	6	22.22	35.29	83.33	5	0	0	16.67	1	16.67	1	6	6	1
C142_H2_Martello_Polo_Day0_H9_E8_86	C142	H2	experiment_2	DAY0	E8	H9	86	SC	Day0_E8	23092	59187	33564	115843	80.07	115843	51.09	32065	27.68	54.18	79.79	25585	2.13	684	13.59	4358	16.13	5172	32065	5536	1
C142_H3_Martello_Polo_Day0_H9_E8_87	C142	H3	experiment_2	DAY0	E8	H9	87	SC	Day0_E8	6523	155304	57534	219361	97.03	219361	70.8	95022	43.32	61.18	55.96	53179	1.8	1711	40.26	38253	42.72	40595	95022	7037	1
C142_H4_Martello_Polo_Day0_H9_E8_88	C142	H4	experiment_2	DAY0	E8	H9	88	SC	Day0_E8	2278	34866	14974	52118	95.63	52118	66.9	15588	29.91	44.71	61.97	9660	2.5	390	32.29	5034	34.02	5303	15588	3739	1
C142_H5_Martello_Polo_Day0_H9_E8_89	C142	H5	experiment_2	DAY0	E8	H9	89	SC	Day0_E8	4612	109776	44974	159362	97.11	159362	68.88	58252	36.55	53.06	68.12	39683	2.56	1491	26.43	15395	28.03	16330	58252	6969	1
C142_H6_Martello_Polo_Day0_H9_E8_90	C142	H6	experiment_2	DAY0	E8	H9	90	SC	Day0_E8	3900	92250	35485	131635	97.04	131635	70.08	48915	37.16	53.02	63.08	30856	2.1	1025	32.06	15680	33.63	16452	48915	5968	1
C142_H7_Martello_Polo_Day0_H9_E8_91	C142	H7	experiment_2	DAY0	E8	H9	91	SC	Day0_E8	4994	91332	35264	131590	96.2	131590	69.41	54926	41.74	60.14	47.75	26228	1.66	913	48.32	26540	49.48	27177	54926	5453	1
C142_H8_Martello_Polo_Day0_H9_E8_92	C142	H8	experiment_2	DAY0	E8	H9	92	SC	Day0_E8	9030	204546	103662	317238	97.15	317238	64.48	112441	35.44	54.97	60.65	68198	2.28	2566	34.32	38594	36.08	40565	112441	8561	1
C142_H9_Martello_Polo_Day0_H9_E8_93	C142	H9	experiment_2	DAY0	E8	H9	93	SC	Day0_E8	4334	72529	35263	112126	96.13	112126	64.69	35662	31.81	49.17	62.71	22362	2.53	901	31.15	11108	32.68	11655	35662	5657	1
C145_A1_Martello_Polo_Day2_E8_C_1_EMPTY	C145	A1	experiment_2	DAY2	E8	C	1	EMPTY	Day2_E8	2458	625	88	3171	22.49	3171	19.71	26	0.82	4.16	50	13	30.77	8	3.85	1	3.85	1	26	25	1
C145_A10_Martello_Polo_Day2_E8_C_10	C145	A10	experiment_2	DAY2	E8	C	10	SC	Day2_E8	7536	67595	49438	124569	93.95	124569	54.26	34449	27.65	50.96	85.6	29487	2.77	953	6.4	2204	9.41	3241	34449	5994	1
C145_A11_Martello_Polo_Day2_E8_C_11	C145	A11	experiment_2	DAY2	E8	C	11	SC	Day2_E8	370	1310	485	2165	82.91	2165	60.51	392	18.11	29.92	49.74	195	1.53	6	45.92	180	48.72	191	392	177	1
